啊哈	a'ha
阿爸	a'ba
阿宝	a'bao
阿尔巴尼亚	a'er'ba'ni'ya
阿尔卑斯山脉	a'er'bei'si'shan'mai
阿尔及尔	a'er'ji'er
阿尔及利亚	a'er'ji'li'ya
阿尔泰山	a'er'tai'shan
阿凡提	a'fan'ti
阿富汗	a'fu'han
阿根廷	a'gen'ting
阿克苏	a'ke'su
阿拉伯	a'la'bo
阿拉法特	a'la'fa'te
阿里	a'li
阿曼	a'man
阿门	a'men
阿婆	a'po
阿斯特	a'si'te
阿嚏	a'ti
阿姨	a'yi
阿訇	a'hong
埃及	ai'ji
挨打	ai'da
挨饿	ai'e
挨罚	ai'fa
挨骂	ai'ma
哎呀	ai'ya
哎哟	ai'yo
唉声叹气	ai'sheng'tan'qi
唉呀	ai'ya
哀兵必败	ai'bing'bi'bai
哀愁	ai'chou
哀辞	ai'ci
哀悼	ai'dao
哀告	ai'gao
哀歌	ai'ge
哀号	ai'hao
哀鸿遍野	ai'hong'bian'ye
哀乐	ai'le
哀乐	ai'yue
哀鸣	ai'ming
哀求	ai'qiu
哀伤	ai'shang
哀思	ai'si
哀叹	ai'tan
哀痛	ai'tong
哀怨	ai'yuan
哀矜	ai'jin
癌变	ai'bian
癌细胞	ai'xi'bao
癌症	ai'zheng
矮秆作物	ai'gan'zuo'wu
矮个	ai'ge
矮小	ai'xiao
碍口	ai'kou
碍面子	ai'mian'zi
碍难	ai'nan
碍事	ai'shi
碍手碍脚	ai'shou'ai'jiao
碍眼	ai'yan
爱不释手	ai'bu'shi'shou
爱称	ai'cheng
爱戴	ai'dai
爱迪生	ai'di'sheng
爱尔兰	ai'er'lan
爱抚	ai'fu
爱国	ai'guo
爱国人士	ai'guo'ren'shi
爱国卫生运动	ai'guo'wei'sheng'yun'dong
爱国主义	ai'guo'zhu'yi
爱好	ai'hao
爱好者	ai'hao'zhe
爱护	ai'hu
爱辉	ai'hui
爱怜	ai'lian
爱恋	ai'lian
爱面子	ai'mian'zi
爱民	ai'min
爱莫能助	ai'mo'neng'zhu
爱慕	ai'mu
爱慕虚荣	ai'mu'xu'rong
爱情	ai'qing
爱人	ai'ren
爱上	ai'shang
爱斯基摩	ai'si'ji'mo
爱斯基摩人	ai'si'ji'mo'ren
爱屋及乌	ai'wu'ji'wu
爱惜	ai'xi
爱惜时间	ai'xi'shi'jian
爱因斯坦	ai'yin'si'tan
爱憎	ai'zeng
爱憎分明	ai'zeng'fen'ming
鞍钢	an'gang
鞍钢宪法	an'gang'xian'fa
鞍马	an'ma
鞍山	an'shan
氨化	an'hua
氨基	an'ji
氨基塑料	an'ji'su'liao
氨基酸	an'ji'suan
氨水	an'shui
安安静静	an'an'jing'jing
安步当车	an'bu'dang'che
安插	an'cha
